"","source","source_level","target","target_level","edge_type","time","value"
"1","debt securities",2,"core",3,"debt securities","2008-Q4",1701.496759
"2","debt securities",2,"core",3,"debt securities","2009-Q1",1705.85038
"3","debt securities",2,"core",3,"debt securities","2009-Q2",1859.891251
"4","debt securities",2,"core",3,"debt securities","2009-Q3",2001.728826
"5","debt securities",2,"core",3,"debt securities","2009-Q4",2081.163606
"6","debt securities",2,"core",3,"debt securities","2010-Q1",2215.00112713018
"7","debt securities",2,"core",3,"debt securities","2010-Q2",2272.532569214
"8","debt securities",2,"core",3,"debt securities","2010-Q3",2341.87253582733
"9","debt securities",2,"core",3,"debt securities","2010-Q4",2361.3275835
"10","debt securities",2,"core",3,"debt securities","2011-Q1",2348.879207
"11","debt securities",2,"core",3,"debt securities","2011-Q2",2385.213992
"12","debt securities",2,"core",3,"debt securities","2011-Q3",2380.372728
"13","debt securities",2,"core",3,"debt securities","2011-Q4",2506.664146
"14","debt securities",2,"core",3,"debt securities","2012-Q1",2676.443418
"15","debt securities",2,"core",3,"debt securities","2012-Q2",2731.49928
"16","debt securities",2,"core",3,"debt securities","2012-Q3",2858.030471
"17","debt securities",2,"core",3,"debt securities","2012-Q4",2968.700493
"18","debt securities",2,"core",3,"debt securities","2013-Q1",3071.681146
"19","debt securities",2,"core",3,"debt securities","2013-Q2",3047.253938
"20","debt securities",2,"core",3,"debt securities","2013-Q3",3098.974355
"21","debt securities",2,"core",3,"debt securities","2013-Q4",3114.853849
"22","debt securities",2,"core",3,"debt securities","2014-Q1",3244.54255
"23","debt securities",2,"core",3,"debt securities","2014-Q2",3402.40167
"24","debt securities",2,"core",3,"debt securities","2014-Q3",3563.853229643
"25","debt securities",2,"core",3,"debt securities","2014-Q4",3616.915353777
"26","debt securities",2,"core",3,"debt securities","2015-Q1",3966.51958346376
"27","debt securities",2,"core",3,"debt securities","2015-Q2",3877.11156272315
"28","debt securities",2,"core",3,"debt securities","2015-Q3",3835.22057297597
"29","debt securities",2,"core",3,"debt securities","2015-Q4",3870.761731613
"30","debt securities",2,"core",3,"debt securities","2016-Q1",3901.11889255619
"31","debt securities",2,"core",3,"debt securities","2016-Q2",4077.92927164131
"32","debt securities",2,"core",3,"debt securities","2016-Q3",4214.52343265782
